cpu_percent,gpu_memory_utilization,gpu_utlizacion,memory_percent,pcie_rx,pcie_tx,time
483.6,16.646144,0.0,0.1378469136913354,0.0,0.0,1584504861.5552073
6.4,16.646144,0.0,0.13939659794316908,0.0,0.0,1584504862.0962725
6.8,16.646144,0.0,0.140721328029414,0.0,0.0,1584504862.8825889
0.0,16.646144,0.0,0.1515441228849622,0.0,0.0,1584504863.4170613
0.0,16.646144,0.0,0.1515441228849622,0.0,0.0,1584504863.783908
0.0,16.646144,0.0,0.15799280896517334,0.0,0.0,1584504864.2931745
12.5,16.646144,0.0,0.3326072312766274,0.0,0.0,1584504864.921615
86.2,16.646144,0.0,0.48837549349320075,0.0,0.0,1584504865.3478134
12.5,16.646144,0.0,0.5550369112293371,0.0,0.0,1584504865.7815201
49.5,16.646144,0.0,0.6334459353906642,0.0,0.0,1584504866.312727
48.9,16.646144,0.0,0.6875099198538298,0.0,0.0,1584504866.8068848
62.5,16.646144,0.0,0.7364249534157415,0.0,0.0,1584504867.2625644
84.6,16.646144,0.0,0.9035409035409037,0.0,0.0,1584504867.822646
99.6,16.646144,0.0,1.223575696451848,0.0,0.0,1584504868.295242
99.8,16.646144,0.0,1.2416470144208118,0.0,0.0,1584504868.9243774
47.5,130.678784,0.0,2.045133304089292,0.0,0.0,1584504869.3706307
12.6,132.775936,0.0,2.107445607957379,0.0,0.0,1584504870.028924
7.1,138.018816,0.0,2.1760066386473755,0.0,0.0,1584504870.6878886
24.0,139.067392,0.0,2.1874043163705394,0.0,0.0,1584504871.1984098
35.6,156.893184,0.0,2.4641979196738664,113000000.0,0.0,1584504871.64002
0.0,164.233216,0.0,2.572775796931375,0.0,0.0,1584504872.02012
12.0,176.816128,0.0,2.8128518814291588,82000000.0,0.0,1584504872.461814
47.6,198.836224,1.0,3.216719593382848,2000000.0,1000000.0,1584504872.8594198
71.7,215.61344,1.0,3.533205109458948,0.0,0.0,1584504873.3199444
23.8,237.633536,2.0,3.9985852882475195,520000000.0,0.0,1584504873.742493
107.3,274.333696,2.0,4.789999037696069,455000000.0,32000000.0,1584504874.122418
83.4,324.141056,2.0,5.700263571297349,192000000.0,20000000.0,1584504874.5001915
11.9,336.723968,0.0,6.109005290172127,0.0,0.0,1584504874.85866
108.8,398.589952,3.0,7.261370495761489,0.0,16000000.0,1584504875.2991655
23.9,424.804352,1.0,7.830404555071905,221000000.0,0.0,1584504875.6556613
59.6,477.233152,1.0,8.554457029380263,7000000.0,9000000.0,1584504876.1625159
93.8,505.544704,2.0,9.023836393334857,147000000.0,6000000.0,1584504876.6154773
95.9,1478.623232,90.0,9.31425222110995,109000000.0,9000000.0,1584504876.9760897
96.2,1478.623232,89.0,9.314402190553675,28000000.0,15000000.0,1584504877.669813
96.0,1478.623232,89.0,9.314477175275538,22000000.0,8000000.0,1584504878.0276487
96.8,1478.623232,91.0,9.314602149811977,22000000.0,5000000.0,1584504878.4091609
107.6,1480.720384,89.0,9.31762653359378,110000000.0,8000000.0,1584504878.819823
96.0,1480.720384,91.0,9.31762653359378,107000000.0,9000000.0,1584504879.1785214
106.4,1480.720384,73.0,9.312677541950826,105000000.0,7000000.0,1584504879.5391088
108.8,1480.720384,88.0,9.317701518315644,110000000.0,16000000.0,1584504879.9255915
105.3,1480.720384,70.0,9.309928102149186,27000000.0,6000000.0,1584504880.3263633
96.1,1480.720384,88.0,9.317751508130218,109000000.0,9000000.0,1584504880.6917317
97.0,1480.720384,89.0,9.317751508130218,29000000.0,18000000.0,1584504881.0563486
96.9,1480.720384,90.0,9.317751508130218,27000000.0,15000000.0,1584504881.4419694
97.1,1480.720384,89.0,9.317826492852081,111000000.0,8000000.0,1584504881.8203726
47.3,1480.720384,46.0,9.317901477573946,107000000.0,9000000.0,1584504882.1771746
109.3,1480.720384,88.0,9.317926472481233,22000000.0,18000000.0,1584504882.5376503
97.0,1480.720384,90.0,9.317926472481233,108000000.0,16000000.0,1584504882.8958535
84.8,1480.720384,89.0,9.31795146738852,28000000.0,8000000.0,1584504883.277786
97.3,1480.720384,89.0,9.317976462295807,107000000.0,9000000.0,1584504883.6565752
71.5,1480.720384,40.0,9.31795146738852,106000000.0,10000000.0,1584504884.0174088
96.4,1480.720384,89.0,9.318001457203094,107000000.0,16000000.0,1584504884.3856156
107.7,1480.720384,89.0,9.318026452110383,111000000.0,17000000.0,1584504884.7672238
97.7,1480.720384,92.0,9.31805144701767,24000000.0,16000000.0,1584504885.163988
85.5,1480.720384,90.0,9.31805144701767,29000000.0,8000000.0,1584504885.5224671
96.9,1480.720384,53.0,9.31805144701767,24000000.0,9000000.0,1584504885.882237
107.6,1480.720384,90.0,9.31805144701767,22000000.0,8000000.0,1584504886.266072
102.0,1480.720384,90.0,9.31805144701767,106000000.0,9000000.0,1584504886.653955
96.9,1480.720384,90.0,9.31805144701767,24000000.0,16000000.0,1584504887.0276787
97.6,1480.720384,91.0,9.309828122520036,19000000.0,1000000.0,1584504887.3916152
108.8,1480.720384,85.0,9.314752119255703,105000000.0,10000000.0,1584504887.7775908
97.5,1480.720384,89.0,9.318076441924958,23000000.0,17000000.0,1584504888.1515236
97.8,1480.720384,92.0,9.318076441924958,28000000.0,16000000.0,1584504888.5087187
84.0,1480.720384,89.0,9.318076441924958,28000000.0,8000000.0,1584504888.8617032
94.8,1480.720384,89.0,9.310403005387652,27000000.0,0.0,1584504889.2166052
96.8,1480.720384,91.0,9.318076441924958,111000000.0,8000000.0,1584504889.6294231
97.2,1480.720384,90.0,9.318076441924958,107000000.0,9000000.0,1584504890.0028243
109.9,1480.720384,90.0,9.318076441924958,104000000.0,18000000.0,1584504890.3544054
97.5,1480.720384,90.0,9.318076441924958,22000000.0,18000000.0,1584504890.7061832
61.2,1480.720384,73.0,9.319476156733066,111000000.0,16000000.0,1584504891.0580702
98.0,1480.720384,90.0,9.318076441924958,26000000.0,9000000.0,1584504891.4321613
97.7,1480.720384,90.0,9.318076441924958,31000000.0,8000000.0,1584504891.8078046
97.9,1480.720384,90.0,9.318076441924958,111000000.0,8000000.0,1584504892.1606
97.8,1480.720384,90.0,9.318076441924958,109000000.0,9000000.0,1584504892.5107958
60.7,1480.720384,45.0,9.31805144701767,106000000.0,9000000.0,1584504892.860492
110.0,1480.720384,91.0,9.318076441924958,106000000.0,9000000.0,1584504893.2126284
98.0,1480.720384,90.0,9.318076441924958,110000000.0,17000000.0,1584504893.569142
97.9,1480.720384,90.0,9.318101436832245,25000000.0,9000000.0,1584504893.940351
98.0,1480.720384,90.0,9.318101436832245,106000000.0,9000000.0,1584504894.3118663
71.8,1480.720384,6.0,8.56023085296371,0.0,0.0,1584504894.683612
